term_a,term_b,count,npmi
noburp,noburp problem,42,0.47638788687018524
retrograde,upper esophageal sphincter,15,0.47621406866621063
code,coverage,13,0.4754269030291932
appeal,letter,17,0.47514587598010577
beer,wine,76,0.47462697898483824
anesthesiologist,surgical,10,0.47459624933510025
ppi,ppis,33,0.4742039356625484
les,low esophageal sphincter,42,0.47382557710826173
pepcid,tum,21,0.4732098338876928
deductible,network,19,0.4731846593984601
letter,michigan,11,0.47313755279654796
diaphragm,muscle tension,11,0.4725235817332939
cover,insurance company,54,0.4723585138818751
barium swallow,motility test,11,0.47222989611984384
drink coffee,tea,13,0.4721781791597072
cure,heat therapy,24,0.4708492308862108
pylori,ulcer,11,0.47010269464836446
bcb,cover,40,0.4683245625566508
canadian,vancouver,15,0.46699134688132576
approve,submit,12,0.46494028113086444
anesthesia,injection under general,10,0.4648156480123123
specialist,world map,21,0.46471997085455025
gerd,gerd symptom,19,0.4646775276756508
les,low esophagus,24,0.4645543751645932
map,specialist,88,0.4630724383372213
nhs,nhs referral,12,0.46285108022099625
get hiccup,hiccup,46,0.46262884125191445
bcb,deny,11,0.46256378197950404
difficulty to burp,inability to burp,10,0.46222437047995224
card,university,10,0.46144024634269304
coverage,insurance company,10,0.4607046930362502
massage,thumb,10,0.45888808056281755
bill,facility,10,0.4585644078938192
core,flex,14,0.45760524956860776
barium swallow,modify barium swallow,10,0.4575222844154677
bcb,insurance,38,0.45745201804270713
les,weaken,24,0.4567272463279035
cost,deductible,78,0.456566238197906
exercise,shaker exercise could,11,0.4563420873857601
cover,get insurance,24,0.4558371895787924
family doctor,referral,47,0.4558231091011421
round,third round,15,0.45516552038671365
country,voice doctor,10,0.4551379380463833
cost,insurance,255,0.4536363554235906
anesthesiologist,surgery center,13,0.4536100740523988
copay,insurance,39,0.4533884865526951
exercise,exercise also,14,0.45327005640038515
famotidine,omeprazole,26,0.4529908767108657
bupa,cover,30,0.45278146525993734
croak,croaking,64,0.45274101501661984
gp,nhs referral,12,0.45163190516757806
cover,insurer,24,0.45131088726231594
authorization,insurance,27,0.4510078458181022
gp,gps,29,0.4506613417301822
dr bastian,internet posting,48,0.4504255320281357
beer,guinness,25,0.4498422137949731
diagnose with acid,reflux,15,0.447282330041766
famotidine,ppis,17,0.44664359505810636
gp,gp appointment,11,0.4464073132141117
les,motility test,12,0.44630585241675574
achalasia,low esophageal sphincter,12,0.4460850842688016
deny,insurance company,13,0.4448188541097453
billing,insurance,25,0.4439069088265189
fully cover,insurance,19,0.44113147519146734
relax the ues,ues,10,0.44094497228998053
otc,tum,10,0.4401587736381428
coverage,deductible,12,0.43931353445886534
alcohol,vodka,33,0.4392002816795256
deductible,estimate,14,0.4391752920963519
air vomit,real vomit,19,0.43875668644791865
coverage,deny,11,0.4378301376619315
150,200,12,0.4375126775907413
hmo,referral,21,0.4372939147294632
croaking,croaking noise,11,0.43686147952564597
core,strengthen,11,0.43660893570581305
gastric sleeve,hiatal hernia,10,0.43635260400795667
nexium,tum,10,0.4356336428975805
copay,kaiser,10,0.4354846781322628
diagnose cure,self,11,0.4349208940538769
prilosec,tum,12,0.43476032934289044
call my insurance,cover,14,0.4335782542745455
primary doctor,referral,17,0.4333594361971307
prescription,zofran,13,0.43334790184830824
axa,cover,16,0.4332774655603065
call your insurance,cover,16,0.4332774655603065
beer,drink beer,61,0.4331995370628239
emetophobia,phobia,92,0.4316907515074425
anaesthetic,general anaesthetic,18,0.4316195580886916
gp,letter,48,0.4315822618215025
round of botox,second round,25,0.4306455860305468
drink beer,wine,21,0.4302512138241755
cover,health insurance,43,0.4299987471428635
cover,deductible,59,0.4290753978027452
beer,drink game,11,0.428810202511804
cover,medicare,26,0.42856554640870187
